County,Positive_Cases,Deaths,Tested
Illinois,48102,2125,242189
Chicago,19594,803,79194
Adams,40,0,833
Alexander,3,0,32
Bond,5,1,96
Boone,81,9,361
Bureau,11,0,195
Calhoun,1,0,25
Carroll,9,2,60
Cass,27,0,240
Champaign,114,6,2581
Christian,28,4,286
Clark,5,0,79
Clay,2,0,101
Clinton,90,1,373
Coles,22,1,302
Cook,13855,654,62645
Crawford,10,0,157
Cumberland,3,0,46
DeKalb,82,1,763
De Witt,2,0,155
Douglas,14,0,175
DuPage,2736,139,14633
Effingham,5,1,112
Fayette,16,2,141
Ford,8,1,140
Franklin,8,0,453
Fulton,3,0,101
Gallatin,2,0,41
Greene,3,0,79
Grundy,30,0,499
Hamilton,2,0,52
Hancock,5,0,139
Hardin,1,0,17
Henderson,4,0,42
Henry,38,0,464
Iroquois,20,0,258
Jackson,75,7,564
Jasper,44,3,181
Jefferson,81,9,519
Jersey,12,1,105
Jo Daviess,11,0,232
Johnson,4,0,65
Kane,1308,41,5710
Kankakee,313,24,2062
Kendall,235,5,1237
Knox,36,0,349
Lake,3192,123,11609
LaSalle,49,1,732
Lawrence,3,0,130
Lee,22,0,462
Livingston,20,1,358
Logan,7,0,301
McDonough,12,0,152
McHenry,552,31,3028
McLean,94,3,2384
Macon,103,11,889
Macoupin,30,0,523
Madison,318,18,1615
Marion,28,0,493
Marshall,4,0,57
Mason,10,0,95
Massac,4,0,71
Menard,7,0,122
Mercer,7,0,116
Monroe,67,10,198
Montgomery,24,1,332
Morgan,21,1,246
Moultrie,5,0,53
Ogle,110,1,1112
Peoria,78,2,1468
Perry,13,0,192
Piatt,7,0,166
Pike,1,0,57
Pulaski,17,0,58
Randolph,126,1,630
Richland,3,0,335
Rock Island,342,9,1257
St. Clair,434,25,2533
Saline,3,0,176
Sangamon,159,8,2459
Schuyler,1,0,64
Shelby,10,0,89
Stark,1,0,32
Stephenson,22,0,232
Tazewell,38,3,1396
Unassigned,335,0,0
Union,8,0,218
Vermilion,16,0,604
Wabash,1,0,127
Warren,53,0,157
Washington,8,0,141
Wayne,2,0,129
White,2,0,97
Whiteside,76,5,865
Will,2254,145,12500
Williamson,28,0,744
Winnebago,365,10,2671
Woodford,12,1,265
