update_date,update_time,County,Positive_Cases,Deaths,Tested,NOFO_Region,Metro_Area
05-05-2020,14:45,Illinois,65962,2838,346286,Illinois,Illinois
05-05-2020,14:45,Adams,40,1,1381,West Central,
05-05-2020,14:45,Alexander,4,0,48,Southern,Cape_Girardeau
05-05-2020,14:45,Bond,7,1,139,Southwest Central,St_Louis
05-05-2020,14:45,Boone,146,10,602,Northern,Rockford
05-05-2020,14:45,Brown,2,0,40,West Central,
05-05-2020,14:45,Bureau,12,1,309,Northwest,
05-05-2020,14:45,Calhoun,1,0,29,Southwest Central,St_Louis
05-05-2020,14:45,Carroll,10,2,87,Northwest,
05-05-2020,14:45,Cass,42,0,434,Central,
05-05-2020,14:45,Champaign,212,6,3835,Northeast Central,Champaign-Urbana
05-05-2020,14:45,Chicago,26606,1068,108872,Chicago,Chicago
05-05-2020,14:45,Christian,28,4,394,Central,
05-05-2020,14:45,Clark,5,0,101,Southeast Central,
05-05-2020,14:45,Clay,2,0,133,Southeast Central,
05-05-2020,14:45,Clinton,115,7,529,Southwest Central,St_Louis
05-05-2020,14:45,Coles,22,1,393,Southeast Central,
05-05-2020,14:45,Cook,18617,854,86056,Suburban,Chicago
05-05-2020,14:45,Crawford,8,0,182,Southeast Central,
05-05-2020,14:45,Cumberland,4,0,64,Southeast Central,
05-05-2020,14:45,De Witt,3,0,233,North Central,Bloomington
05-05-2020,14:45,DeKalb,132,1,1141,Northern,Elgin
05-05-2020,14:45,Douglas,20,0,246,Northeast Central,
05-05-2020,14:45,DuPage,3918,207,21081,Collar,Chicago
05-05-2020,14:45,Effingham,5,1,146,Southeast Central,
05-05-2020,14:45,Fayette,16,2,167,Southeast Central,
05-05-2020,14:45,Ford,11,1,193,Northeast Central,Champaign-Urbana
05-05-2020,14:45,Franklin,10,0,566,Southern,
05-05-2020,14:45,Fulton,3,0,193,North Central,
05-05-2020,14:45,Gallatin,2,0,46,Southern,
05-05-2020,14:45,Greene,3,0,115,Central,
05-05-2020,14:45,Grundy,47,0,697,Collar,Chicago
05-05-2020,14:45,Hamilton,2,0,69,Southern,
05-05-2020,14:45,Hancock,9,0,253,West Central,
05-05-2020,14:45,Hardin,1,0,20,Southern,
05-05-2020,14:45,Henderson,4,0,69,West Central,
05-05-2020,14:45,Henry,53,0,624,Northwest,Davenport
05-05-2020,14:45,Iroquois,47,1,349,Northeast Central,
05-05-2020,14:45,Jackson,146,9,902,Southern,Carbondale-Marion
05-05-2020,14:45,Jasper,48,5,238,Southeast Central,
05-05-2020,14:45,Jefferson,86,15,679,Southern,
05-05-2020,14:45,Jersey,14,1,121,Southwest Central,St_Louis
05-05-2020,14:45,Jo Daviess,14,0,267,Northwest,
05-05-2020,14:45,Johnson,4,0,93,Southern,
05-05-2020,14:45,Kane,2206,65,8909,Collar,Elgin
05-05-2020,14:45,Kankakee,393,27,3039,Collar,Kankakee
05-05-2020,14:45,Kendall,334,9,1678,Collar,Chicago
05-05-2020,14:45,Knox,56,0,706,West Central,
05-05-2020,14:45,Lake,4370,151,15796,Collar,Lake
05-05-2020,14:45,LaSalle,69,1,1327,Northwest,
05-05-2020,14:45,Lawrence,3,0,152,Southeast Central,
05-05-2020,14:45,Lee,41,0,572,Northwest,
05-05-2020,14:45,Livingston,23,1,449,North Central,
05-05-2020,14:45,Logan,7,0,450,Central,
05-05-2020,14:45,Macon,126,13,1151,Central,Decatur
05-05-2020,14:45,Macoupin,36,1,667,Central,St_Louis
05-05-2020,14:45,Madison,369,27,2199,Southwest Central,St_Louis
05-05-2020,14:45,Marion,36,0,676,Southeast Central,
05-05-2020,14:45,Marshall,4,0,83,North Central,Peoria
05-05-2020,14:45,Mason,14,0,163,North Central,
05-05-2020,14:45,Massac,4,0,88,Southern,
05-05-2020,14:45,McDonough,37,2,328,West Central,
05-05-2020,14:45,McHenry,802,40,4335,Collar,Chicago
