County,Tested,Positive_Cases,Deaths
Illinois,3831412,225627,7954
Adams,23968,731,7
Alexander,1377,42,0
Bond,4332,119,3
Boone,10866,843,23
Brown,1216,16,0
Bureau,5367,335,5
Calhoun,791,25,0
Carroll,2444,115,4
Cass,3827,296,11
Champaign,178308,2187,20
Chicago,876706,69594,2861
Christian,8118,192,4
Clark,3114,113,2
Clay,2233,62,0
Clinton,8790,647,17
Coles,17236,827,21
Cook,726381,53578,2170
Crawford,2340,72,0
Cumberland,2784,123,3
De Witt,2468,38,1
DeKalb,20812,1078,33
Douglas,5812,198,4
DuPage,241187,14103,532
Edgar,2362,75,0
Edwards,562,33,0
Effingham,7786,424,1
Fayette,3544,140,3
Ford,3207,69,2
Franklin,7931,305,1
Fulton,6717,72,0
Gallatin,548,62,2
Greene,2297,97,0
Grundy,8103,452,5
Hamilton,991,44,0
Hancock,4124,120,1
Hardin,573,18,0
Henderson,810,37,0
Henry,11628,412,1
Iroquois,7866,284,18
Jackson,13424,877,20
Jasper,1880,100,7
Jefferson,6647,416,31
Jersey,3925,246,3
Jo Daviess,3836,171,2
Johnson,1824,105,0
Kane,131029,10956,312
Kankakee,37388,2089,71
Kendall,25488,1609,23
Knox,11247,436,3
Lake,188481,14172,460
LaSalle,21913,1148,43
Lawrence,3302,89,0
Lee,5301,222,1
Livingston,7085,172,4
Logan,9598,245,1
Macon,25751,875,26
Macoupin,13619,324,3
Madison,54219,3752,92
Marion,7301,249,0
Marshall,2142,42,0
Mason,3156,73,1
Massac,2062,61,1
McDonough,5014,164,15
McHenry,55748,3698,115
McLean,43658,1250,16
Menard,3352,68,0
Mercer,3086,95,4
Monroe,4995,429,14
Montgomery,9029,234,8
Morgan,10521,466,18
Moultrie,3133,140,0
Ogle,10398,467,5
Peoria,60798,2255,40
Perry,4697,278,8
Piatt,5262,71,0
Pike,1981,64,0
Pope,405,14,1
Pulaski,1047,114,1
Putnam,694,14,0
Randolph,8032,682,7
Richland,3318,58,1
Rock Island,43536,2071,52
Saline,4573,158,3
Sangamon,74741,1680,37
Schuyler,1319,19,0
Scott,1491,43,0
Shelby,4648,171,3
St. Clair,58340,5058,168
Stark,1220,13,0
Stephenson,8514,371,6
Tazewell,40647,993,9
Unassigned,53893,46,0
Union,4564,409,23
Vermilion,17768,306,3
Wabash,1765,95,1
Warren,2758,238,1
Washington,2084,101,1
Wayne,2340,90,2
White,1959,113,0
Whiteside,10292,471,18
Will,157748,11063,356
Williamson,17464,784,11
Winnebago,64941,4116,145
Woodford,8140,249,3
